"","ppID","runIdx","trialIdx","trialCode","trialOnset","trialDuration","timestamp","X","Y","bin","interval","gapfill","Xf","Yf","frameTime","frameStep","Xa","Ya","AV","lMax","AVf","fixation","cluster","inROI","roiValid"
"24","pilot",1,5,4,14.04911867,3.014133934,0.380675781,994.7999878,535.5999756,191,0.016683413,1,996.5999756,546,0.366659472,0.016683413,72.6603345512411,57.0681665784204,0.0912161439777701,1,0.0912161439777701,1,1,1,1
"25","pilot",1,5,4,14.04911867,3.014133934,0.39734144,996.5999756,546.7999878,199,0.016665659,1,996.5999756,546,0.383325131,0.016665659,72.6603345512411,57.0681665784204,0.0848763998325778,0,0.0848763998325778,1,1,1,1
"26","pilot",1,5,4,14.04911867,3.014133934,0.413989344,990.4000244,527.9000244,208,0.016647904,1,996.4000244,546.7999878,0.399973035,0.016647904,72.6457564643039,57.151781664558,0.0836150861375557,0,0.0836150861375557,1,1,1,1
"27","pilot",1,5,4,14.04911867,3.014133934,0.430674699,998.9000244,553.2999878,216,0.016685355,1,996.5999756,546.7999878,0.41665839,0.016685355,72.6603345512411,57.151781664558,1.58877902275393,1,1.58877902275393,-1,0,1,1
"28","pilot",1,5,4,14.04911867,3.014133934,0.447341468,996.4000244,551.5999756,224,0.016666769,1,996.5999756,531.5999756,0.433325159,0.016666769,72.6603345512411,55.5630695249542,0.762998021594946,0,0.762998021594946,1,2,1,1
"29","pilot",1,5,4,14.04911867,3.014133934,0.463988817,997.9000244,531.5999756,233,0.016647349,1,996.5999756,539.5,0.449972508,0.016647349,72.6603345512411,56.388783642963,0.82584279696425,1,0.82584279696425,1,2,1,1
"30","pilot",1,5,4,14.04911867,3.014133934,0.480694701,996.5999756,531.4000244,241,0.016705884,1,996.4000244,539.5,0.466678392,0.016705884,72.6457564643039,56.388783642963,0.145816448585592,0,0.145816448585592,1,2,1,1
"31","pilot",1,5,4,14.04911867,3.014133934,0.49736147,994.5999756,539.5,249,0.016666769,1,994.5999756,539.5,0.483345161,0.016666769,72.5145181026555,56.388783642963,0.150255486804551,0,0.150255486804551,1,2,1,1
"32","pilot",1,5,4,14.04911867,3.014133934,0.513987457,983.2000122,540.2000122,257,0.016625987,1,994.5999756,540.2000122,0.499971148,0.016625987,72.5145181026555,56.4619492342387,0.176294103055941,1,0.176294103055941,1,2,1,1
"33","pilot",1,5,4,14.04911867,3.014133934,0.530691955,980.9000244,559,266,0.016704498,1,992.4000244,540.2000122,0.516675646,0.016704498,72.3541235671327,56.4619492342387,0.160394535522812,0,0.160394535522812,1,2,1,1
"34","pilot",1,5,4,14.04911867,3.014133934,0.547358446,1000.200012,542.4000244,274,0.0166664910000001,1,992.4000244,540.2000122,0.533342137,0.0166664910000001,72.3541235671327,56.4619492342387,0.209040903217662,0,0.209040903217662,1,2,1,1
