"","ppID","runIdx","trialIdx","trialCode","trialOnset","trialDuration","timestamp","X","Y","bin","interval","gapfill","Xf","Yf","frameTime","frameStep","Xa","Ya","AV","lMax","AVf","fixation","cluster","inROI","roiValid"
"1","pilot",1,76,2,263.7214671,3.013966374,0,1049.099976,470.2000122,1,NA,1,1042,470.2000122,0,NA,75.9703697130948,49.1455176216207,NA,NA,NA,NA,0,1,1
"2","pilot",1,76,2,263.7214671,3.013966374,0.013877877,1042,470.7999878,9,0.013877877,1,1044.8499755,470.5,0.00832631,0.00832631,76.1781563660778,49.1768724819538,0.062709720666291,0,0.062709720666291,1,1,1,1
"3","pilot",1,76,2,263.7214671,3.013966374,0.030530497,1037.599976,466.2999878,17,0.01665262,1,1042,470.7999878,0.01665262,0.00832631,75.9703697130948,49.208227342287,0.350450850608312,1,0.350450850608312,1,1,1,1
"4","pilot",1,76,2,263.7214671,3.013966374,0.047195878,1047.699951,473.2000122,25,0.016665381,1,1042,473.2000122,0.033318001,0.016665381,75.9703697130948,49.4590789764472,0.261231987953949,0,0.261231987953949,1,1,1,1
"5","pilot",1,76,2,263.7214671,3.013966374,0.063906479,1041,481,34,0.016710601,1,1041,473.2000122,0.050028602,0.016710601,75.897461488802,49.4590789764472,0.635501113424799,0,0.635501113424799,1,1,1,1
"6","pilot",1,76,2,263.7214671,3.013966374,0.080524976,1052.300049,477.7999878,42,0.016618497,1,1047.699951,477.7999878,0.066647099,0.016618497,76.3859430190607,49.9398705035488,0.784355311724958,1,0.784355311724958,1,1,1,1
"7","pilot",1,76,2,263.7214671,3.013966374,0.097218654,1039.099976,472.5,50,0.016693678,1,1049.5,477.7999878,0.083340777,0.016693678,76.5171813952908,49.9398705035488,0.174981561008323,0,0.174981561008323,1,1,1,1
"8","pilot",1,76,2,263.7214671,3.013966374,0.113882094,1054.199951,481.7000122,59,0.01666344,1,1050.099976,477.7999878,0.100004217,0.01666344,76.5609245800691,49.9398705035488,0.407632311573437,0,0.407632311573437,1,1,1,1
"9","pilot",1,76,2,263.7214671,3.013966374,0.130525559,1049.5,473.5,67,0.016643465,1,1049.5,481.7000122,0.116647682,0.016643465,76.5171813952908,50.3475028151222,0.407632311573437,0,0.407632311573437,1,1,1,1
"10","pilot",1,76,2,263.7214671,3.013966374,0.147194269,1050.099976,486.2000122,75,0.01666871,1,1050.099976,481.7000122,0.133316392,0.01666871,76.5609245800691,50.3475028151222,0.8570689783419,1,0.8570689783419,1,1,1,1
"11","pilot",1,76,2,263.7214671,3.013966374,0.163880179,1034.699951,494.0999756,83,0.01668591,1,1049.5,473.5,0.150002302,0.01668591,76.5171813952908,49.4904338367803,0.723485885672987,0,0.723485885672987,1,1,1,1
"12","pilot",1,76,2,263.7214671,3.013966374,0.180525032,1051.699951,465,92,0.016644853,1,1040.599976,479.7000122,0.166647155,0.016644853,75.8682964492875,50.1384619119046,0.847812129481247,0,0.847812129481247,1,1,1,1
"13","pilot",1,76,2,263.7214671,3.013966374,0.197172381,1038.099976,471.9000244,100,0.016647349,1,1038.099976,471.9000244,0.183294504,0.016647349,75.6860258885555,49.3232036645052,0.930234569617582,1,0.930234569617582,1,1,1,1
"14","pilot",1,76,2,263.7214671,3.013966374,0.213875214,1040.599976,479.7000122,108,0.016702833,1,1040.599976,470.7999878,0.199997337,0.016702833,75.8682964492875,49.208227342287,0.114976322218233,0,0.114976322218233,1,1,1,1
"15","pilot",1,76,2,263.7214671,3.013966374,0.230522563,1033.800049,469.2999878,117,0.016647349,1,1038.099976,470.7999878,0.216644686,0.016647349,75.6860258885555,49.208227342287,0,0,0,1,1,1,1
"16","pilot",1,76,2,263.7214671,3.013966374,0.247169357,1041.199951,470.7999878,125,0.016646794,1,1040.599976,470.7999878,0.23329148,0.016646794,75.8682964492875,49.208227342287,0.226013672602065,1,0.226013672602065,1,1,1,1
"17","pilot",1,76,2,263.7214671,3.013966374,0.263880235,1037.5,463.5999756,133,0.016710878,1,1041.199951,470.7999878,0.250002358,0.016710878,75.9120395611576,49.208227342287,0.197135008350932,0,0.197135008350932,1,1,1,1
"18","pilot",1,76,2,263.7214671,3.013966374,0.280520649,1054.699951,470.9000244,141,0.016640414,1,1043.300049,470.9000244,0.266642772,0.016640414,76.0651539771784,49.2186832128964,0.153471005807624,0,0.153471005807624,1,1,1,1
"19","pilot",1,76,2,263.7214671,3.013966374,0.297168275,1043.300049,481.9000244,150,0.016647626,1,1043.300049,470.9000244,0.283290398,0.016647626,76.0651539771784,49.2186832128964,0.226609689376472,1,0.226609689376472,1,1,1,1
"20","pilot",1,76,2,263.7214671,3.013966374,0.313873605,1044.5,481.7999878,158,0.01670533,1,1044.5,472.9000244,0.299995728,0.01670533,76.1526402738268,49.427724116114,0.209040903217655,0,0.209040903217655,1,1,1,1
"21","pilot",1,76,2,263.7214671,3.013966374,0.330521509,1041,468.5999756,166,0.016647904,1,1043.300049,472.9000244,0.316643632,0.016647904,76.0651539771784,49.427724116114,0.255178785024796,0,0.255178785024796,1,1,1,1
