ppID,runIdx,trialIdx,trialCode,clockCode,trialDuration,leftEyeX,leftEyeY,rightEyeX,rightEyeY,timestamp,interval,distance,leftValid,rightValid
999,1,4,1,1,2.000500035,0.579514283,0.352285655,0.588590653,0.397129743,654.954263,NaN,69.1,0,0
999,1,4,1,1,2.000500035,0.580977968,0.364182532,0.585343997,0.405350074,654.962597,8334,69.1,0,0
999,1,4,1,1,2.000500035,0.582491197,0.351241729,0.584526811,0.391371565,654.970931,8334,69.1,0,0
999,1,4,1,1,2.000500035,0.577825389,0.343763367,0.58405012,0.382179665,654.979269,8338,69.1,0,0
999,1,4,1,1,2.000500035,0.585617695,0.351070582,0.588867674,0.374701195,654.987593,8324,69.1,0,0
999,1,4,1,1,2.000500035,0.580033995,0.35380654,0.584229999,0.393501894,654.995925,8332,69,0,0
999,1,4,1,1,2.000500035,0.577206989,0.349362077,0.583063676,0.378943696,655.004258,8333,69,0,0
999,1,4,1,1,2.000500035,0.578513131,0.366924264,0.585762011,0.38382698,655.012591,8333,69,0,0
999,1,4,1,1,2.000500035,0.576943894,0.364424727,0.58366339,0.373358615,655.020927,8336,69,0,0
999,1,4,1,1,2.000500035,0.575851444,0.355227965,0.587375865,0.389420817,655.029255,8328,69,0,0
999,1,4,1,1,2.000500035,0.57712271,0.353913335,0.585438263,0.428827427,655.037587,8332,69,0,0
999,1,4,1,1,2.000500035,0.58156939,0.359959305,0.590162706,0.375938099,655.045927,8340,69,0,0
999,1,4,1,1,2.000500035,0.575683008,0.35166612,0.58938532,0.366115821,655.054253,8326,69,0,0
999,1,4,1,1,2.000500035,0.5749137,0.39234033,0.58490455,0.388964865,655.062586,8333,68.9,0,0
999,1,4,1,1,2.000500035,0.57490958,0.35904461,0.590833485,0.378682521,655.070918,8332,68.9,0,0
999,1,4,1,1,2.000500035,0.579082799,0.363936025,0.587831803,0.381066409,655.079254,8336,68.9,0,0
999,1,4,1,1,2.000500035,0.582845922,0.356802071,0.587600362,0.412421511,655.087581,8327,68.9,0,0
999,1,4,1,1,2.000500035,0.579379628,0.370208741,0.591275282,0.382046123,655.095914,8333,68.9,0,0
999,1,4,1,1,2.000500035,0.582214678,0.382259425,0.589152027,0.378732322,655.104245,8331,68.9,0,0
999,1,4,1,1,2.000500035,0.583002518,0.353285038,0.588100498,0.388002668,655.112583,8338,68.9,0,0
999,1,4,1,1,2.000500035,0.580235049,0.3774031,0.588139584,0.407412681,655.12091,8327,68.9,0,0
999,1,4,1,1,2.000500035,0.583005527,0.352990417,0.587717362,0.415905729,655.129244,8334,68.9,0,0
999,1,4,1,1,2.000500035,0.5794142,0.381433974,0.589166495,0.382473755,655.137577,8333,68.9,0,0
999,1,4,1,1,2.000500035,0.578067296,0.36193103,0.588251572,0.36986197,655.145912,8335,68.9,0,0
999,1,4,1,1,2.000500035,0.57447355,0.360562323,0.586069493,0.407859016,655.154241,8329,68.9,0,0
999,1,4,1,1,2.000500035,0.578637255,0.388971148,0.588343446,0.392668799,655.162573,8332,68.9,0,0
999,1,4,1,1,2.000500035,0.579186924,0.372018035,0.586934503,0.410857623,655.170906,8333,68.9,0,0
999,1,4,1,1,2.000500035,0.578082712,0.367488232,0.581055448,0.408892675,655.179245,8339,68.9,0,0
999,1,4,1,1,2.000500035,0.575078003,0.394879182,0.585126642,0.426425766,655.187573,8328,68.9,0,0
999,1,4,1,1,2.000500035,0.577895993,0.387770372,0.585086712,0.373456463,655.195904,8331,68.9,0,0
999,1,4,1,1,2.000500035,0.532588414,0.41389661,0.55685786,0.404661901,655.20423,8326,68.9,0,0
999,1,4,1,1,2.000500035,0.486638912,0.465203887,0.510420412,0.414765819,655.21257,8340,68.9,0,0
999,1,4,1,1,2.000500035,0.47157924,0.464431297,0.490938985,0.391695465,655.220902,8332,68.9,0,0
999,1,4,1,1,2.000500035,0.463998911,0.417340909,0.478250343,0.421426748,655.229234,8332,68.9,0,0
999,1,4,1,1,2.000500035,0.481226248,0.475571163,0.492211913,0.3945051,655.237567,8333,68.9,0,0
999,1,4,1,1,2.000500035,0.477469222,0.421804079,0.489915281,0.388289667,655.245898,8331,68.9,0,0
999,1,4,1,1,2.000500035,0.472518859,0.449628963,0.486815729,0.424208139,655.254231,8333,68.9,0,0
999,1,4,1,1,2.000500035,0.469356363,0.451004232,0.488853466,0.421710235,655.26256,8329,68.9,0,0
999,1,4,1,1,2.000500035,0.467809779,0.440536173,0.485453443,0.507005059,655.270894,8334,68.9,0,0
999,1,4,1,1,2.000500035,0.472002067,0.442988536,0.482710893,0.428549903,655.279236,8342,69,0,0
999,1,4,1,1,2.000500035,0.4693159,0.435266912,0.490158558,0.399633263,655.28756,8324,69,0,0
999,1,4,1,1,2.000500035,0.474810654,0.426480484,0.482439463,0.433277524,655.295893,8333,69,0,0
999,1,4,1,1,2.000500035,0.47032166,0.437572324,0.479503603,0.428831239,655.304222,8329,69,0,0
999,1,4,1,1,2.000500035,0.470608559,0.460813493,0.483551803,0.459911136,655.312558,8336,69,0,0
999,1,4,1,1,2.000500035,0.47325148,0.419981105,0.48143253,0.475366448,655.320886,8328,69,0,0
999,1,4,1,1,2.000500035,0.470387765,0.405311877,0.484022657,0.476573872,655.329218,8332,69,0,0
999,1,4,1,1,2.000500035,0.471072702,0.455630188,0.483807418,0.445192013,655.337549,8331,69,0,0
999,1,4,1,1,2.000500035,0.468428753,0.415235663,0.483002553,0.424290468,655.345891,8342,69,0,0
999,1,4,1,1,2.000500035,0.477900123,0.42856845,0.483946997,0.430381668,655.354218,8327,69,0,0
999,1,4,1,1,2.000500035,0.476455504,0.432928997,0.482845031,0.400606737,655.362548,8330,69,0,0
999,1,4,1,1,2.000500035,0.47389911,0.427232786,0.485939965,0.427313299,655.37088,8332,69,0,0
999,1,4,1,1,2.000500035,0.471835088,0.433740788,0.485681412,0.403154961,655.379213,8333,69,0,0
999,1,4,1,1,2.000500035,0.468756719,0.452728246,0.488757655,0.40646386,655.387548,8335,69,0,0
999,1,4,1,1,2.000500035,0.466274989,0.373041876,0.487195301,0.356549093,655.395885,8337,69,0,0
999,1,4,1,1,2.000500035,0.467434855,0.357513002,0.482498913,0.346152727,655.404212,8327,69,0,0
999,1,4,1,1,2.000500035,0.465155412,0.359658119,0.48212008,0.340388431,655.412547,8335,69,0,0
999,1,4,1,1,2.000500035,0.468000987,0.370224799,0.479380913,0.360967504,655.420874,8327,69,0,0
999,1,4,1,1,2.000500035,0.469573015,0.365879484,0.481105765,0.339891658,655.429206,8332,69,0,0
999,1,4,1,1,2.000500035,0.468712939,0.382064088,0.477348447,0.327915588,655.437545,8339,69,0,0
999,1,4,1,1,2.000500035,0.468165075,0.382696165,0.482125265,0.370406297,655.44587,8325,69,0,0
999,1,4,1,1,2.000500035,0.470455175,0.35424777,0.481019354,0.352348673,655.454205,8335,68.9,0,0
999,1,4,1,1,2.000500035,0.469882764,0.361537182,0.483696262,0.354633477,655.462541,8336,68.9,0,0
999,1,4,1,1,2.000500035,0.467168939,0.391121423,0.482250004,0.34254187,655.470867,8326,68.9,0,0
999,1,4,1,1,2.000500035,0.4686715,0.367992401,0.48135888,0.396330972,655.479199,8332,68.9,0,0
999,1,4,1,1,2.000500035,0.469015872,0.376662242,0.483230672,0.375833931,655.487531,8332,68.9,0,0
999,1,4,1,1,2.000500035,0.468121902,0.372412049,0.481232062,0.351520987,655.495869,8338,68.9,0,0
999,1,4,1,1,2.000500035,0.469849834,0.364780354,0.479394162,0.374141589,655.504202,8333,68.9,0,0
999,1,4,1,1,2.000500035,0.471323519,0.374381786,0.480089795,0.384841817,655.512533,8331,68.9,0,0
999,1,4,1,1,2.000500035,0.46619313,0.364899836,0.484309056,0.361292684,655.520863,8330,68.9,0,0
999,1,4,1,1,2.000500035,0.469791165,0.371160346,0.479383701,0.33591327,655.529195,8332,68.8,0,0
999,1,4,1,1,2.000500035,0.468478006,0.374155078,0.486574546,0.348549939,655.537531,8336,68.8,0,0
999,1,4,1,1,2.000500035,0.470422432,0.391245822,0.479520984,0.345528522,655.545861,8330,68.8,0,0
999,1,4,1,1,2.000500035,0.468611481,0.398102126,0.480399581,0.35370391,655.554198,8337,68.8,0,0
999,1,4,1,1,2.000500035,0.469139384,0.386608723,0.479685824,0.363249657,655.56253,8332,68.8,0,0
999,1,4,1,1,2.000500035,0.472752513,0.363259133,0.482455123,0.346731352,655.570858,8328,68.8,0,0
999,1,4,1,1,2.000500035,0.468762962,0.371924906,0.48105785,0.359382321,655.579188,8330,68.8,0,0
999,1,4,1,1,2.000500035,0.469978315,0.396495808,0.478036313,0.351247251,655.587524,8336,68.8,0,0
999,1,4,1,1,2.000500035,0.470025185,0.365345696,0.478121155,0.351072143,655.595858,8334,68.8,0,0
999,1,4,1,1,2.000500035,0.472452267,0.365131297,0.478801232,0.352772068,655.604188,8330,68.8,0,0
999,1,4,1,1,2.000500035,0.468686824,0.381015089,0.480743947,0.346330603,655.612523,8335,68.8,0,0
999,1,4,1,1,2.000500035,0.472070371,0.351413629,0.481397642,0.344279992,655.620852,8329,68.7,0,0
999,1,4,1,1,2.000500035,0.472604422,0.379719843,0.480783048,0.334082847,655.629185,8333,68.7,0,0
999,1,4,1,1,2.000500035,0.470138649,0.374041841,0.484809368,0.364247654,655.637516,8331,68.7,0,0
999,1,4,1,1,2.000500035,0.470783367,0.359313113,0.484506425,0.336768784,655.645848,8332,68.8,0,0
999,1,4,1,1,2.000500035,0.468664895,0.358762954,0.482021345,0.339610933,655.654179,8331,68.8,0,0
999,1,4,1,1,2.000500035,0.470880029,0.348266608,0.484895074,0.353715699,655.662516,8337,68.8,0,0
999,1,4,1,1,2.000500035,0.47151247,0.370970939,0.479721908,0.361846468,655.670848,8332,68.8,0,0
999,1,4,1,1,2.000500035,0.468378173,0.361782903,0.483664271,0.352461867,655.679178,8330,68.8,0,0
999,1,4,1,1,2.000500035,0.469260876,0.365772844,0.487441545,0.353712707,655.687509,8331,68.8,0,0
999,1,4,1,1,2.000500035,0.469603896,0.377953688,0.485558091,0.356726833,655.695844,8335,68.8,0,0
999,1,4,1,1,2.000500035,0.472088633,0.369493927,0.484387198,0.344189739,655.704175,8331,68.8,0,0
999,1,4,1,1,2.000500035,0.473685059,0.379160846,0.480633513,0.336737268,655.712508,8333,68.8,0,0
999,1,4,1,1,2.000500035,0.470868616,0.375430844,0.479045348,0.362386887,655.72084,8332,68.8,0,0
