ppID,runIdx,trialIdx,trialCode,trialOnset,trialDuration,eyeX,eyeY,timestamp
pilot,1,1,3,0,3.015265526,800.5,538.5,0
pilot,1,1,3,0,3.015265526,793.0999756,543.5,0.009219183
pilot,1,1,3,0,3.015265526,792.7999878,550.9000244,0.02578719
pilot,1,1,3,0,3.015265526,800.5,543.4000244,0.042448132
pilot,1,1,3,0,3.015265526,795.7999878,542.2999878,0.059112127
pilot,1,1,3,0,3.015265526,793.2999878,538.7000122,0.075785276
pilot,1,1,3,0,3.015265526,811.2000122,538.0999756,0.092443721
pilot,1,1,3,0,3.015265526,804.4000244,553.5999756,0.10911049
pilot,1,1,3,0,3.015265526,800.9000244,539,0.125774207
pilot,1,1,3,0,3.015265526,801.7999878,537.2999878,0.142663465
pilot,1,1,3,0,3.015265526,788.0999756,554.7999878,0.159099143
pilot,1,1,3,0,3.015265526,793.5,539.2000122,0.175777009
pilot,1,1,3,0,3.015265526,800.4000244,548.7999878,0.192460145
pilot,1,1,3,0,3.015265526,808.5999756,561,0.2091197
pilot,1,1,3,0,3.015265526,794.2999878,564.4000244,0.225794791
pilot,1,1,3,0,3.015265526,799.2999878,546.2999878,0.242452127
pilot,1,1,3,0,3.015265526,783.2000122,535.9000244,0.259122779
pilot,1,1,3,0,3.015265526,805,543.9000244,0.275787329
pilot,1,1,3,0,3.015265526,796.4000244,541.4000244,0.292449381
pilot,1,1,3,0,3.015265526,778.4000244,556.5999756,0.309117814
pilot,1,1,3,0,3.015265526,803.5999756,554.5999756,0.325787079
pilot,1,1,3,0,3.015265526,796.4000244,540.7000122,0.342452183
pilot,1,1,3,0,3.015265526,811.2000122,550.9000244,0.359097312
pilot,1,1,3,0,3.015265526,849.9000244,536.5,0.375786274
pilot,1,1,3,0,3.015265526,985.5,528,0.392449436
pilot,1,1,3,0,3.015265526,1050.599976,546.7000122,0.409120643
pilot,1,1,3,0,3.015265526,1059.599976,552.5999756,0.425777425
pilot,1,1,3,0,3.015265526,1051,536.4000244,0.442442806
pilot,1,1,3,0,3.015265526,1053,536.4000244,0.459092652
pilot,1,1,3,0,3.015265526,1056.800049,531.7000122,0.475777175
pilot,1,1,3,0,3.015265526,1053.900024,545.9000244,0.492444776
pilot,1,1,3,0,3.015265526,1053,540.2000122,0.50909268
pilot,1,1,3,0,3.015265526,1054.599976,548,0.525773041
pilot,1,1,3,0,3.015265526,1046.5,528.5999756,0.542442029
pilot,1,1,3,0,3.015265526,1055.400024,529.2000122,0.559089933
pilot,1,1,3,0,3.015265526,1062.599976,533.9000244,0.57576863
pilot,1,1,3,0,3.015265526,1059.599976,549.2999878,0.592437896
pilot,1,1,3,0,3.015265526,1063.5,543.9000244,0.609082471
pilot,1,1,3,0,3.015265526,1050.900024,551.4000244,0.625768381
pilot,1,1,3,0,3.015265526,1058.5,538.7999878,0.642434872
pilot,1,1,3,0,3.015265526,1055.300049,541.0999756,0.659081943
pilot,1,1,3,0,3.015265526,1048.099976,536.2999878,0.675766189
pilot,1,1,3,0,3.015265526,1058.800049,519.5999756,0.692429629
pilot,1,1,3,0,3.015265526,1067.699951,541,0.709081971
