"","ppID","runIdx","trialIdx","trialCode","clockCode","trialDuration","timestamp","interval","distance","idx","X","Y","Xf","Yf","Df","frameTime","Xmm","Ymm","Dmm","ED","AV","EV","lMax","fixation","cluster"
"36",999,1,4,1,1,2.000500035,655.254231,8333,68.9,37,0.479667294,0.563081449,0.479667294,0.5636427665,68.9,0.299968000000035,244.150652646,161.201831219,689,2.39608878934782,11.9585200719077,143.805592926918,0,1,2
"37",999,1,4,1,1,2.000500035,655.26256,8329,68.9,38,0.4791049145,0.5636427665,0.4791049145,0.563081449,68.9,0.308297000000039,243.8644014805,161.041294414,689,1.17620432599998,5.86992519425274,70.5877888735757,0,1,2
"38",999,1,4,1,1,2.000500035,655.270894,8334,68.9,39,0.476631611,0.526229384,0.47735648,0.5636427665,68.9,0.316631000000029,242.97444832,161.201831219,689,0.948718139912055,4.73095104571744,56.8912293064439,0,1,2
"39",999,1,4,1,1,2.000500035,655.279236,8342,69,40,0.47735648,0.5642307805,0.47735648,0.5642307805,69,0.324973,242.97444832,161.370003223,690,1.96206701667603,9.77585678883427,117.728730149863,1,1,2
"40",999,1,4,1,1,2.000500035,655.28756,8324,69,41,0.479737229,0.5825499125,0.4786250585,0.570120996,69,0.333297000000016,243.6201547765,163.054604856,690,1.80411182853838,8.99371705068242,108.309529239201,0,1,2
"41",999,1,4,1,1,2.000500035,655.295893,8333,69,42,0.4786250585,0.570120996,0.4786250585,0.570120996,69,0.341630000000009,243.6201547765,163.054604856,690,1.23346347801736,6.14712782132501,74.0285366713247,0,1,2
"42",999,1,4,1,1,2.000500035,655.304222,8329,69,43,0.4749126315,0.5667982185,0.477080181,0.5667982185,69,0.349959000000013,242.833812129,162.104290491,690,5.14969508618646,25.6591151355715,309.012606432034,1,1,2
"43",999,1,4,1,1,2.000500035,655.312558,8336,69,44,0.477080181,0.5396376855,0.477080181,0.5523262235,69,0.358294999999998,242.833812129,157.965299921,690,4.13947980095505,20.626941758896,248.408533422776,0,1,2
"44",999,1,4,1,1,2.000500035,655.320886,8328,69,45,0.477342005,0.5523262235,0.477205211,0.5523262235,69,0.366623000000004,242.897452399,157.965299921,690,0.133268416000021,0.664241147262939,7.99930468187322,0,1,2
"45",999,1,4,1,1,2.000500035,655.329218,8332,69,46,0.477205211,0.5590571255,0.477342005,0.5523262235,69,0.374955,242.967080545,157.965299921,690,1.92503797200001,9.59309004775659,115.527694412812,0,1,2
"46",999,1,4,1,1,2.000500035,655.337549,8331,69,47,0.47744006,0.5495888995,0.477205211,0.5590571255,69,0.383285999999998,242.897452399,159.890337893,690,5.20507249704284,25.9225867532207,312.18571924771,0,1,2
"47",999,1,4,1,1,2.000500035,655.345891,8342,69,48,0.475715653,0.5802369345,0.47744006,0.570524941,69,0.391628000000082,243.01699054,163.170133126,690,6.18395233144834,30.8048076187699,370.985201959095,1,1,2
"48",999,1,4,1,1,2.000500035,655.354218,8327,69,49,0.48092356,0.570524941,0.4796502675,0.5802369345,69,0.399954999999977,244.1419861575,165.947763267,690,1.41046061079549,7.03132404692953,84.6767491627744,0,1,2
"49",999,1,4,1,1,2.000500035,655.362548,8330,69,50,0.4796502675,0.583232133,0.4799195375,0.5727269575,69,0.408284999999978,244.2790445875,163.799909845,690,0.376144626000013,1.87456813310624,22.574998559448,0,1,2
"50",999,1,4,1,1,2.000500035,655.37088,8332,69,51,0.4799195375,0.5727269575,0.4796502675,0.5815521255,69,0.416617000000088,244.1419861575,166.323907893,690,0.591095337500008,2.94527364421009,35.4692671764995,1,1,2
"51",999,1,4,1,1,2.000500035,655.379213,8333,69,52,0.47875825,0.5815521255,0.47875825,0.5727269575,69,0.424950000000081,243.68794925,163.799909845,690,0.454577974499983,2.26463584046606,27.2724966702957,0,1,2
"52",999,1,4,1,1,2.000500035,655.387548,8335,69,53,0.478757187,0.570403947,0.478757187,0.5815521255,69,0.433285000000069,243.687408183,166.323907893,690,17.8982293688817,89.1247925409558,1073.55022606241,0,0,0
"53",999,1,4,1,1,2.000500035,655.395885,8337,69,54,0.476735145,0.6352045155,0.476735145,0.6352045155,69,0.441622000000052,242.658188805,181.668491433,690,19.1493258890881,95.3973504546275,1149.14341629248,1,0,0
"54",999,1,4,1,1,2.000500035,655.404212,8327,69,55,0.474966884,0.6481671355,0.474966884,0.6481671355,69,0.449949000000061,241.758143956,185.375800753,690,4.01809381914192,20.024495140479,241.153152031132,0,1,3
"55",999,1,4,1,1,2.000500035,655.412547,8335,69,56,0.473637746,0.649976725,0.47369095,0.6481671355,69,0.458284000000049,241.10869355,185.375800753,690,0.715843152412804,3.56750122310145,42.9626186780068,0,1,3
"56",999,1,4,1,1,2.000500035,655.420874,8327,69,57,0.47369095,0.6344038485,0.47369095,0.647114429,69,0.466611000000057,241.10869355,185.074726694,690,0.902894421000042,4.50050589728516,54.1985966144315,0,1,3
"57",999,1,4,1,1,2.000500035,655.429206,8332,69,58,0.47533939,0.647114429,0.47369095,0.645010162,69,0.474943000000053,241.10869355,184.472906332,690,0.953981549986134,4.75172817850956,57.2240147554213,1,1,3
"58",999,1,4,1,1,2.000500035,655.437545,8339,69,59,0.473030693,0.645010162,0.47514517,0.645010162,69,0.483282000000031,241.84889153,184.472906332,690,0.740197980000005,3.68843397462424,44.4189858377568,0,1,3
"59",999,1,4,1,1,2.000500035,655.44587,8325,69,60,0.47514517,0.623448769,0.47514517,0.645010162,69,0.491607000000045,241.84889153,184.472906332,690,0.935201773702128,4.6612629238943,56.1345602462205,0,1,3
"60",999,1,4,1,1,2.000500035,655.454205,8335,68.9,61,0.4757372645,0.6467017785,0.4757372645,0.6419146705,68.9,0.499942000000033,242.1502676305,183.587595763,689,0.935201773702128,4.66494807606445,56.0975210667382,0,1,3
"61",999,1,4,1,1,2.000500035,655.462541,8336,68.9,62,0.476789513,0.6419146705,0.4757372645,0.6419146705,68.9,0.508278000000018,242.1502676305,183.587595763,689,2.52830339470739,12.6183775850846,151.740691075975,0,1,3
"62",999,1,4,1,1,2.000500035,655.470867,8326,68.9,63,0.4747094715,0.6331683535,0.47501519,0.6331683535,68.9,0.516604000000029,241.78273171,181.086149101,689,5.20753461750263,25.9958755324276,312.614636661095,1,1,3
"63",999,1,4,1,1,2.000500035,655.479199,8332,68.9,64,0.47501519,0.6178383135,0.47501519,0.6237519135,68.9,0.524936000000025,241.78273171,178.393047261,689,2.69310183999997,13.4392402716056,161.61196831501,0,1,3
"64",999,1,4,1,1,2.000500035,655.487531,8332,68.9,65,0.476123272,0.6237519135,0.47501519,0.6237519135,68.9,0.533268000000021,241.78273171,178.393047261,689,1.94873341070905,9.72118221664586,116.900624517805,0,1,3
"65",999,1,4,1,1,2.000500035,655.495869,8338,68.9,66,0.474676982,0.638033482,0.474676982,0.6305390285,68.9,0.541606000000002,241.610583838,180.334162151,689,1.94873341070905,9.72059909732535,116.893612303527,0,1,3
"66",999,1,4,1,1,2.000500035,655.504202,8333,68.9,67,0.474621998,0.6305390285,0.474676982,0.6305390285,68.9,0.549938999999995,241.610583838,180.334162151,689,0.292222499000019,1.45826945090993,17.536155724926,0,1,3
"67",999,1,4,1,1,2.000500035,655.512533,8331,68.9,68,0.475706657,0.6203881985,0.475251093,0.6305390285,68.9,0.558269999999993,241.902806337,180.334162151,689,1.84361420677737,9.20176961760549,110.654474928124,0,1,3
"68",999,1,4,1,1,2.000500035,655.520863,8330,68.9,69,0.475251093,0.63690374,0.475251093,0.63690374,68.9,0.566599999999994,241.902806337,182.15446964,689,2.31902041800001,11.573886333041,139.180195534778,1,1,3
"69",999,1,4,1,1,2.000500035,655.529195,8332,68.8,70,0.474587433,0.646463192,0.475251093,0.6386474915,68.8,0.57493199999999,241.902806337,182.653182569,688,0.518591753160679,2.5910525808327,31.1130161483835,0,1,3
"70",999,1,4,1,1,2.000500035,655.537531,8336,68.8,71,0.477526276,0.6386474915,0.474971708,0.6386474915,68.8,0.583267999999975,241.760599372,182.653182569,688,2.01693326676808,10.0784350582996,121.020836839656,0,1,3
"71",999,1,4,1,1,2.000500035,655.545861,8330,68.8,72,0.474971708,0.631612828,0.474971708,0.631612828,68.8,0.591597999999976,241.760599372,180.641268808,688,3.89017431291433,19.4375351771011,233.405790657678,1,1,3
"72",999,1,4,1,1,2.000500035,655.554198,8337,68.8,73,0.474505531,0.624096982,0.474505531,0.62507081,68.8,0.599935000000073,241.523315279,178.77025166,688,1.88600342229298,9.42249761497445,113.144365125833,0,1,3
"73",999,1,4,1,1,2.000500035,655.56253,8332,68.8,74,0.474412604,0.62507081,0.474505531,0.62507081,68.8,0.608267000000069,241.523315279,178.77025166,688,2.66080745552279,13.3005769646962,159.712332264257,0,1,3
"74",999,1,4,1,1,2.000500035,655.570858,8328,68.8,75,0.477603818,0.6450047575,0.474910406,0.6343463865,68.8,0.616595000000075,241.729396654,181.423066539,688,2.66080745552279,13.3021738643158,159.731507715315,1,1,3
"75",999,1,4,1,1,2.000500035,655.579188,8330,68.8,76,0.474910406,0.6343463865,0.474910406,0.6343463865,68.8,0.624925000000076,241.729396654,181.423066539,688,0.426153123999967,2.1294548562957,25.5702102484286,0,1,3
"76",999,1,4,1,1,2.000500035,655.587524,8336,68.8,77,0.474007314,0.6261284705,0.47407317,0.6343463865,68.8,0.633261000000061,241.30324353,181.423066539,688,1.96355436245373,9.80935257909136,117.789703806629,1,1,3
"77",999,1,4,1,1,2.000500035,655.595858,8334,68.8,78,0.47407317,0.6417910805,0.47407317,0.6410483175,68.8,0.641595000000052,241.30324353,183.339818805,688,1.94442660205079,9.71729382975845,116.684265605603,0,1,3
"78",999,1,4,1,1,2.000500035,655.604188,8330,68.8,79,0.4756267495,0.6410483175,0.4747153855,0.6410483175,68.8,0.649925000000053,241.6301312195,183.339818805,688,0.790771965499971,3.95166344211451,47.4510630363331,0,1,3
"79",999,1,4,1,1,2.000500035,655.612523,8335,68.8,80,0.4747153855,0.636327154,0.4756267495,0.6410483175,68.8,0.658260000000041,242.0940154955,183.339818805,688,1.16527653133205,5.82349251767288,69.9277803248103,1,1,3
"80",999,1,4,1,1,2.000500035,655.620852,8329,68.7,81,0.4767340065,0.6521531895,0.476693735,0.643098655,68.7,0.666589000000045,242.637111115,183.92621533,687,0.813325808384274,4.07101887378709,48.8132162036033,0,1,3
"81",999,1,4,1,1,2.000500035,655.629185,8333,68.7,82,0.476693735,0.643098655,0.4767340065,0.643098655,68.7,0.674922000000038,242.6576093085,183.92621533,687,0.397159211499996,1.98770179461752,23.8333660285764,0,1,3
