"trialCode","trialNo","stimFile","imgClock"
2,111,"EmptyImageryBox.tiff","9_aClock_a1.tiff"
2,112,"EmptyImageryBox.tiff","9_aClock_a1.tiff"
1,113,"8_aClock_a4.tiff",
0,114,"fixCross.tiff",
2,115,"EmptyImageryBox.tiff","8_aClock_a4.tiff"
0,116,"fixCross.tiff",
0,117,"fixCross.tiff",
2,118,"EmptyImageryBox.tiff","8_aClock_a4.tiff"
2,119,"EmptyImageryBox.tiff","8_aClock_a4.tiff"
0,120,"fixCross.tiff",
0,121,"fixCross.tiff",
1,122,"8_aClock_a5.tiff",
1,123,"9_aClock_a2.tiff",
1,124,"7_aClock_a1.tiff",
2,125,"EmptyImageryBox.tiff","7_aClock_a1.tiff"
2,126,"EmptyImageryBox.tiff","7_aClock_a1.tiff"
2,127,"EmptyImageryBox.tiff","7_aClock_a1.tiff"
1,128,"6_aClock_a5.tiff",
0,129,"fixCross.tiff",
0,130,"fixCross.tiff",
1,131,"4_aClock_a6.tiff",
1,132,"4_aClock_a4.tiff",
0,133,"fixCross.tiff",
1,134,"7_aClock_a4.tiff",
1,135,"6_aClock_a6.tiff",
1,136,"4_aClock_a1.tiff",
