"trialCode","trialNo","stimFile","imgClock"
5,1,"8_d12Clock_a1.tiff",
3,2,"7_d12Clock_a4.tiff",
3,3,"3_d12Clock_a4.tiff",
4,4,"EmptyImageryBox.tiff","3_d12Clock_a4.tiff"
4,5,"EmptyImageryBox.tiff","3_d12Clock_a4.tiff"
3,6,"9_d12Clock_a2.tiff",
3,7,"4_d12Clock_a1.tiff",
3,8,"3_d12Clock_a5.tiff",
4,9,"EmptyImageryBox.tiff","3_d12Clock_a5.tiff"
3,10,"2_d12Clock_a2.tiff",
3,11,"2_d12Clock_a4.tiff",
0,12,"fixCross.tiff",
3,13,"1_d12Clock_a2.tiff",
3,14,"10_d12Clock_a3.tiff",
3,15,"5_d12Clock_a5.tiff",
0,16,"fixCross.tiff",
0,17,"fixCross.tiff",
0,18,"fixCross.tiff",
3,19,"8_d12Clock_a2.tiff",
4,20,"EmptyImageryBox.tiff","8_d12Clock_a2.tiff"
3,21,"7_d12Clock_a1.tiff",
4,22,"EmptyImageryBox.tiff","7_d12Clock_a1.tiff"
3,23,"6_d12Clock_a5.tiff",
3,24,"5_d12Clock_a6.tiff",
3,25,"6_d12Clock_a6.tiff",
3,26,"7_d12Clock_a6.tiff",
4,27,"EmptyImageryBox.tiff","7_d12Clock_a6.tiff"
3,28,"9_d12Clock_a1.tiff",
0,29,"fixCross.tiff",
4,30,"EmptyImageryBox.tiff","9_d12Clock_a1.tiff"
0,31,"fixCross.tiff",
3,32,"10_d12Clock_a2.tiff",
3,33,"2_d12Clock_a6.tiff",
0,34,"fixCross.tiff",
3,35,"4_d12Clock_a3.tiff",
4,36,"EmptyImageryBox.tiff","4_d12Clock_a3.tiff"
3,37,"4_d12Clock_a4.tiff",
3,38,"7_d12Clock_a3.tiff",
4,39,"EmptyImageryBox.tiff","7_d12Clock_a3.tiff"
0,40,"fixCross.tiff",
4,41,"EmptyImageryBox.tiff","7_d12Clock_a3.tiff"
4,42,"EmptyImageryBox.tiff","7_d12Clock_a3.tiff"
4,43,"EmptyImageryBox.tiff","7_d12Clock_a3.tiff"
3,44,"10_d12Clock_a5.tiff",
3,45,"6_d12Clock_a3.tiff",
3,46,"1_d12Clock_a5.tiff",
0,47,"fixCross.tiff",
0,48,"fixCross.tiff",
3,49,"3_d12Clock_a1.tiff",
0,50,"fixCross.tiff",
4,51,"EmptyImageryBox.tiff","3_d12Clock_a1.tiff"
4,52,"EmptyImageryBox.tiff","3_d12Clock_a1.tiff"
4,53,"EmptyImageryBox.tiff","3_d12Clock_a1.tiff"
0,54,"fixCross.tiff",
3,55,"5_d12Clock_a3.tiff",
3,56,"9_d12Clock_a6.tiff",
0,57,"fixCross.tiff",
0,58,"fixCross.tiff",
3,59,"4_d12Clock_a6.tiff",
3,60,"2_d12Clock_a1.tiff",
3,61,"3_d12Clock_a2.tiff",
4,62,"EmptyImageryBox.tiff","3_d12Clock_a2.tiff"
4,63,"EmptyImageryBox.tiff","3_d12Clock_a2.tiff"
4,64,"EmptyImageryBox.tiff","3_d12Clock_a2.tiff"
0,65,"fixCross.tiff",
0,66,"fixCross.tiff",
0,67,"fixCross.tiff",
0,68,"fixCross.tiff",
0,69,"fixCross.tiff",
0,70,"fixCross.tiff",
0,71,"fixCross.tiff",
5,72,"9_aClock_a4.tiff",
1,73,"7_aClock_a3.tiff",
0,74,"fixCross.tiff",
2,75,"EmptyImageryBox.tiff","7_aClock_a3.tiff"
0,76,"fixCross.tiff",
2,77,"EmptyImageryBox.tiff","7_aClock_a3.tiff"
2,78,"EmptyImageryBox.tiff","7_aClock_a3.tiff"
1,79,"3_aClock_a2.tiff",
0,80,"fixCross.tiff",
0,81,"fixCross.tiff",
2,82,"EmptyImageryBox.tiff","3_aClock_a2.tiff"
2,83,"EmptyImageryBox.tiff","3_aClock_a2.tiff"
1,84,"5_aClock_a5.tiff",
0,85,"fixCross.tiff",
1,86,"2_aClock_a6.tiff",
1,87,"9_aClock_a6.tiff",
1,88,"2_aClock_a2.tiff",
1,89,"2_aClock_a1.tiff",
0,90,"fixCross.tiff",
0,91,"fixCross.tiff",
1,92,"10_aClock_a3.tiff",
1,93,"8_aClock_a1.tiff",
1,94,"6_aClock_a3.tiff",
0,95,"fixCross.tiff",
1,96,"1_aClock_a3.tiff",
2,97,"EmptyImageryBox.tiff","1_aClock_a3.tiff"
0,98,"fixCross.tiff",
1,99,"3_aClock_a4.tiff",
2,100,"EmptyImageryBox.tiff","3_aClock_a4.tiff"
2,101,"EmptyImageryBox.tiff","3_aClock_a4.tiff"
2,102,"EmptyImageryBox.tiff","3_aClock_a4.tiff"
1,103,"3_aClock_a5.tiff",
0,104,"fixCross.tiff",
2,105,"EmptyImageryBox.tiff","3_aClock_a5.tiff"
1,106,"10_aClock_a2.tiff",
1,107,"7_aClock_a6.tiff",
2,108,"EmptyImageryBox.tiff","7_aClock_a6.tiff"
1,109,"1_aClock_a5.tiff",
1,110,"9_aClock_a1.tiff",
