"trialCode","trialNo","stimFile","imgClock"
5,1,"7_d12Clock_a6.tiff",
0,2,"fixCross.tiff",
3,3,"9_d12Clock_a6.tiff",
4,4,"EmptyImageryBox.tiff","9_d12Clock_a6.tiff"
3,5,"1_d12Clock_a5.tiff",
3,6,"7_d12Clock_a3.tiff",
3,7,"3_d12Clock_a4.tiff",
3,8,"5_d12Clock_a5.tiff",
4,9,"EmptyImageryBox.tiff","5_d12Clock_a5.tiff"
4,10,"EmptyImageryBox.tiff","5_d12Clock_a5.tiff"
0,11,"fixCross.tiff",
3,12,"7_d12Clock_a4.tiff",
0,13,"fixCross.tiff",
4,14,"EmptyImageryBox.tiff","7_d12Clock_a4.tiff"
0,15,"fixCross.tiff",
3,16,"3_d12Clock_a5.tiff",
3,17,"10_d12Clock_a2.tiff",
0,18,"fixCross.tiff",
4,19,"EmptyImageryBox.tiff","10_d12Clock_a2.tiff"
3,20,"2_d12Clock_a1.tiff",
4,21,"EmptyImageryBox.tiff","2_d12Clock_a1.tiff"
3,22,"9_d12Clock_a1.tiff",
0,23,"fixCross.tiff",
3,24,"4_d12Clock_a4.tiff",
4,25,"EmptyImageryBox.tiff","4_d12Clock_a4.tiff"
0,26,"fixCross.tiff",
4,27,"EmptyImageryBox.tiff","4_d12Clock_a4.tiff"
0,28,"fixCross.tiff",
0,29,"fixCross.tiff",
3,30,"9_d12Clock_a4.tiff",
0,31,"fixCross.tiff",
0,32,"fixCross.tiff",
3,33,"10_d12Clock_a5.tiff",
4,34,"EmptyImageryBox.tiff","10_d12Clock_a5.tiff"
4,35,"EmptyImageryBox.tiff","10_d12Clock_a5.tiff"
3,36,"2_d12Clock_a4.tiff",
3,37,"8_d12Clock_a2.tiff",
3,38,"4_d12Clock_a3.tiff",
3,39,"4_d12Clock_a1.tiff",
3,40,"1_d12Clock_a3.tiff",
0,41,"fixCross.tiff",
3,42,"8_d12Clock_a1.tiff",
3,43,"3_d12Clock_a1.tiff",
3,44,"7_d12Clock_a1.tiff",
0,45,"fixCross.tiff",
0,46,"fixCross.tiff",
3,47,"3_d12Clock_a2.tiff",
3,48,"8_d12Clock_a5.tiff",
3,49,"1_d12Clock_a2.tiff",
4,50,"EmptyImageryBox.tiff","1_d12Clock_a2.tiff"
4,51,"EmptyImageryBox.tiff","1_d12Clock_a2.tiff"
0,52,"fixCross.tiff",
0,53,"fixCross.tiff",
4,54,"EmptyImageryBox.tiff","1_d12Clock_a2.tiff"
4,55,"EmptyImageryBox.tiff","1_d12Clock_a2.tiff"
0,56,"fixCross.tiff",
3,57,"4_d12Clock_a6.tiff",
3,58,"10_d12Clock_a3.tiff",
3,59,"5_d12Clock_a3.tiff",
4,60,"EmptyImageryBox.tiff","5_d12Clock_a3.tiff"
4,61,"EmptyImageryBox.tiff","5_d12Clock_a3.tiff"
3,62,"2_d12Clock_a6.tiff",
0,63,"fixCross.tiff",
0,64,"fixCross.tiff",
4,65,"EmptyImageryBox.tiff","2_d12Clock_a6.tiff"
0,66,"fixCross.tiff",
0,67,"fixCross.tiff",
0,68,"fixCross.tiff",
0,69,"fixCross.tiff",
0,70,"fixCross.tiff",
0,71,"fixCross.tiff",
5,72,"4_aClock_a1.tiff",
1,73,"7_aClock_a4.tiff",
2,74,"EmptyImageryBox.tiff","7_aClock_a4.tiff"
2,75,"EmptyImageryBox.tiff","7_aClock_a4.tiff"
0,76,"fixCross.tiff",
0,77,"fixCross.tiff",
1,78,"7_aClock_a3.tiff",
1,79,"4_aClock_a4.tiff",
2,80,"EmptyImageryBox.tiff","4_aClock_a4.tiff"
1,81,"6_aClock_a5.tiff",
0,82,"fixCross.tiff",
2,83,"EmptyImageryBox.tiff","6_aClock_a5.tiff"
1,84,"2_aClock_a2.tiff",
1,85,"5_aClock_a3.tiff",
2,86,"EmptyImageryBox.tiff","5_aClock_a3.tiff"
0,87,"fixCross.tiff",
2,88,"EmptyImageryBox.tiff","5_aClock_a3.tiff"
1,89,"6_aClock_a3.tiff",
0,90,"fixCross.tiff",
1,91,"2_aClock_a1.tiff",
2,92,"EmptyImageryBox.tiff","2_aClock_a1.tiff"
0,93,"fixCross.tiff",
0,94,"fixCross.tiff",
0,95,"fixCross.tiff",
1,96,"2_aClock_a4.tiff",
1,97,"8_aClock_a2.tiff",
1,98,"2_aClock_a6.tiff",
2,99,"EmptyImageryBox.tiff","2_aClock_a6.tiff"
1,100,"4_aClock_a3.tiff",
1,101,"3_aClock_a5.tiff",
1,102,"5_aClock_a6.tiff",
2,103,"EmptyImageryBox.tiff","5_aClock_a6.tiff"
2,104,"EmptyImageryBox.tiff","5_aClock_a6.tiff"
2,105,"EmptyImageryBox.tiff","5_aClock_a6.tiff"
0,106,"fixCross.tiff",
1,107,"5_aClock_a5.tiff",
0,108,"fixCross.tiff",
2,109,"EmptyImageryBox.tiff","5_aClock_a5.tiff"
1,110,"3_aClock_a2.tiff",
1,111,"6_aClock_a6.tiff",
1,112,"3_aClock_a1.tiff",
0,113,"fixCross.tiff",
1,114,"9_aClock_a1.tiff",
1,115,"9_aClock_a6.tiff",
2,116,"EmptyImageryBox.tiff","9_aClock_a6.tiff"
0,117,"fixCross.tiff",
0,118,"fixCross.tiff",
1,119,"10_aClock_a3.tiff",
1,120,"1_aClock_a5.tiff",
1,121,"8_aClock_a4.tiff",
1,122,"10_aClock_a2.tiff",
2,123,"EmptyImageryBox.tiff","10_aClock_a2.tiff"
