"trialCode","trialNo","stimFile","imgClock"
5,1,"7_d12Clock_a3.tiff",
3,2,"3_d12Clock_a4.tiff",
3,3,"9_d12Clock_a6.tiff",
0,4,"fixCross.tiff",
4,5,"EmptyImageryBox.tiff","9_d12Clock_a6.tiff"
3,6,"2_d12Clock_a4.tiff",
3,7,"7_d12Clock_a6.tiff",
3,8,"1_d12Clock_a5.tiff",
3,9,"5_d12Clock_a5.tiff",
0,10,"fixCross.tiff",
0,11,"fixCross.tiff",
4,12,"EmptyImageryBox.tiff","5_d12Clock_a5.tiff"
4,13,"EmptyImageryBox.tiff","5_d12Clock_a5.tiff"
3,14,"3_d12Clock_a5.tiff",
3,15,"4_d12Clock_a1.tiff",
3,16,"4_d12Clock_a3.tiff",
3,17,"3_d12Clock_a1.tiff",
3,18,"7_d12Clock_a4.tiff",
4,19,"EmptyImageryBox.tiff","7_d12Clock_a4.tiff"
0,20,"fixCross.tiff",
0,21,"fixCross.tiff",
0,22,"fixCross.tiff",
3,23,"10_d12Clock_a2.tiff",
4,24,"EmptyImageryBox.tiff","10_d12Clock_a2.tiff"
3,25,"9_d12Clock_a2.tiff",
3,26,"6_d12Clock_a6.tiff",
3,27,"2_d12Clock_a1.tiff",
4,28,"EmptyImageryBox.tiff","2_d12Clock_a1.tiff"
4,29,"EmptyImageryBox.tiff","2_d12Clock_a1.tiff"
0,30,"fixCross.tiff",
3,31,"3_d12Clock_a2.tiff",
3,32,"4_d12Clock_a4.tiff",
0,33,"fixCross.tiff",
0,34,"fixCross.tiff",
4,35,"EmptyImageryBox.tiff","4_d12Clock_a4.tiff"
3,36,"8_d12Clock_a5.tiff",
3,37,"4_d12Clock_a6.tiff",
3,38,"6_d12Clock_a3.tiff",
0,39,"fixCross.tiff",
3,40,"2_d12Clock_a2.tiff",
3,41,"8_d12Clock_a4.tiff",
3,42,"10_d12Clock_a5.tiff",
4,43,"EmptyImageryBox.tiff","10_d12Clock_a5.tiff"
4,44,"EmptyImageryBox.tiff","10_d12Clock_a5.tiff"
4,45,"EmptyImageryBox.tiff","10_d12Clock_a5.tiff"
